Child_Node,Reward
1,0.6000
2,0.5800
3,0.6000
4,0.5600
5,0.6200
6,0.5600
7,0.5600
8,0.4000
9,0.6200
10,0.5600
11,0.6600
12,0.6600
13,0.6400
14,0.5400
15,0.6600
16,0.7000
17,0.5800
18,0.7400
19,0.6600
20,0.5400
21,0.6200
22,0.6400
23,0.6000
24,0.6200
25,0.5800
26,0.5400
27,0.5000
28,0.5800
29,0.6000
30,0.6200
31,0.6200
32,0.7000
33,0.5200
34,0.6200
35,0.5200
36,0.4800
37,0.6000
38,0.5400
39,0.7200
40,0.5800
41,0.5600
42,0.6400
43,0.5200
44,0.4600
45,0.6000
