Child_Node,Reward
1,0.2000
2,0.3000
3,0.2000
4,0.3400
5,0.3600
6,0.4200
7,0.3400
8,0.4000
9,0.3000
10,0.3400
11,0.3600
12,0.3400
13,0.4000
14,0.3400
15,0.3000
16,0.4000
17,0.3600
18,0.4200
19,0.3800
20,0.4400
21,0.2800
22,0.3800
23,0.3000
24,0.2400
25,0.4600
26,0.4200
27,0.4400
28,0.4000
29,0.4000
30,0.4800
31,0.3400
32,0.5000
33,0.3400
34,0.2400
35,0.2400
36,0.2800
37,0.2000
38,0.2800
39,0.4400
40,0.2600
41,0.3600
42,0.3400
43,0.5000
44,0.4800
45,0.3800
46,0.3800
47,0.4000
48,0.3200
