Child_Node,Reward
1,0.2800
2,0.2400
3,0.2200
4,0.3600
5,0.2600
6,0.3400
7,0.2200
8,0.3200
9,0.2600
10,0.5200
11,0.4800
12,0.2000
13,0.6000
14,0.4600
15,0.6600
16,0.3600
17,0.4000
18,0.6400
19,0.3800
20,0.6800
21,0.5600
22,0.4600
23,0.3000
24,0.8000
25,0.4000
26,0.3800
27,0.3400
28,0.4600
29,0.6000
30,0.5200
31,0.6400
32,0.4400
33,0.2800
34,0.4600
35,0.7000
36,0.3200
37,0.2400
38,0.1600
39,0.2800
40,0.2800
41,0.6200
42,0.7400
43,0.2200
44,0.7600
45,0.5000
46,0.7800
47,0.5400
48,0.3200
